Nama Asuransi,kategori,produk_id,user_id,Rating,Premi Asuransi
BCA Asuransi Properti Komersial,Properti,P0112,U0029,2.9,774000
BCA Asuransi Kebakaran,Properti,P0113,U0011,3.6,769000
Asuransi Simas Ruko,Properti,P0114,U0140,4.3,200000
Simas Rumah Hemat Plus,Properti,P0115,U0018,4.9,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0116,U0136,4.4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0117,U0174,4.3,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0118,U0069,4.9,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0119,U0018,3.9,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0120,U0172,2.6,100000
BCA Asuransi Rumah Tinggal,Properti,P0121,U0093,3.5,774000
BCA Asuransi Properti Komersial,Properti,P0122,U0122,4.1,774000
BCA Asuransi Kebakaran,Properti,P0123,U0176,4.1,769000
Asuransi Simas Ruko,Properti,P0124,U0019,4.3,200000
Simas Rumah Hemat Plus,Properti,P0125,U0068,4.1,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0126,U0025,2.7,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0127,U0194,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0128,U0110,4.2,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0129,U0028,3.1,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0130,U0046,4.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0131,U0167,3.3,774000
BCA Asuransi Properti Komersial,Properti,P0132,U0080,4.1,774000
BCA Asuransi Kebakaran,Properti,P0133,U0130,5,769000
Asuransi Simas Ruko,Properti,P0134,U0077,4.1,200000
Simas Rumah Hemat Plus,Properti,P0135,U0060,4.2,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0136,U0047,2.8,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0137,U0187,4.7,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0138,U0197,2.9,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0139,U0090,3.6,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0140,U0050,4.7,100000
BCA Asuransi Rumah Tinggal,Properti,P0141,U0105,5,774000
BCA Asuransi Properti Komersial,Properti,P0142,U0014,5,774000
BCA Asuransi Kebakaran,Properti,P0143,U0091,2.3,769000
Asuransi Simas Ruko,Properti,P0144,U0193,3.8,200000
Simas Rumah Hemat Plus,Properti,P0145,U0160,4.4,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0146,U0194,3.8,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0147,U0014,3.8,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0148,U0049,2.8,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0149,U0011,4.2,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0150,U0078,3,100000
BCA Asuransi Rumah Tinggal,Properti,P0151,U0094,3.6,774000
BCA Asuransi Properti Komersial,Properti,P0152,U0113,2.9,774000
BCA Asuransi Kebakaran,Properti,P0153,U0008,3.7,769000
Asuransi Simas Ruko,Properti,P0154,U0125,4,200000
Simas Rumah Hemat Plus,Properti,P0155,U0103,5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0156,U0050,4.4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0157,U0147,3.9,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0158,U0041,3,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0159,U0067,4.8,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0160,U0173,3.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0161,U0091,3.8,774000
BCA Asuransi Properti Komersial,Properti,P0162,U0169,3.7,774000
BCA Asuransi Kebakaran,Properti,P0163,U0055,4.3,769000
Asuransi Simas Ruko,Properti,P0164,U0049,3.7,200000
Simas Rumah Hemat Plus,Properti,P0165,U0020,4.6,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0166,U0146,4.6,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0167,U0187,4.4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0168,U0078,4.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0169,U0178,3.8,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0170,U0188,4.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0171,U0078,4.3,774000
BCA Asuransi Properti Komersial,Properti,P0172,U0175,2.7,774000
BCA Asuransi Kebakaran,Properti,P0173,U0051,3.7,769000
Asuransi Simas Ruko,Properti,P0174,U0053,2.7,200000
Simas Rumah Hemat Plus,Properti,P0175,U0115,4.8,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0176,U0106,2.7,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0177,U0103,4.5,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0178,U0055,4,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0179,U0005,2.9,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0180,U0129,3.2,100000
BCA Asuransi Rumah Tinggal,Properti,P0181,U0196,3.8,774000
BCA Asuransi Properti Komersial,Properti,P0182,U0128,4.3,774000
BCA Asuransi Kebakaran,Properti,P0183,U0006,4.6,769000
Asuransi Simas Ruko,Properti,P0184,U0163,3.8,200000
Simas Rumah Hemat Plus,Properti,P0185,U0040,3.7,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0186,U0047,4.6,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0187,U0001,4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0188,U0009,4.7,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0189,U0087,4.4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0190,U0088,3.5,100000
BCA Asuransi Rumah Tinggal,Properti,P0191,U0101,4.3,774000
BCA Asuransi Properti Komersial,Properti,P0192,U0124,3.2,774000
BCA Asuransi Kebakaran,Properti,P0193,U0154,4.3,769000
Asuransi Simas Ruko,Properti,P0194,U0063,3.8,200000
Simas Rumah Hemat Plus,Properti,P0195,U0063,5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0196,U0111,4.2,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0197,U0143,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0198,U0095,3.2,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0199,U0126,3.9,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0200,U0026,3.4,100000
BCA Asuransi Rumah Tinggal,Properti,P0201,U0081,4.4,774000
BCA Asuransi Properti Komersial,Properti,P0202,U0108,3.2,774000
BCA Asuransi Kebakaran,Properti,P0203,U0093,4.9,769000
Asuransi Simas Ruko,Properti,P0204,U0016,4.3,200000
Simas Rumah Hemat Plus,Properti,P0205,U0081,3.7,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0206,U0032,4.2,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0207,U0084,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0208,U0049,4.6,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0209,U0155,4.2,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0210,U0133,4.3,100000
BCA Asuransi Rumah Tinggal,Properti,P0211,U0104,4.5,774000
BCA Asuransi Properti Komersial,Properti,P0212,U0106,3.5,774000
BCA Asuransi Kebakaran,Properti,P0213,U0126,3.5,769000
Asuransi Simas Ruko,Properti,P0214,U0138,4.5,200000
Simas Rumah Hemat Plus,Properti,P0215,U0064,4.3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0216,U0021,3.7,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0217,U0103,4.2,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0218,U0163,3.6,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0219,U0142,4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0220,U0041,3.7,100000
BCA Asuransi Rumah Tinggal,Properti,P0221,U0042,5,774000
BCA Asuransi Properti Komersial,Properti,P0222,U0192,5,774000
BCA Asuransi Kebakaran,Properti,P0223,U0168,3.4,769000
Asuransi Simas Ruko,Properti,P0224,U0187,4,200000
Simas Rumah Hemat Plus,Properti,P0225,U0047,3.5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0226,U0052,5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0227,U0016,3.9,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0228,U0164,3.3,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0229,U0060,4.2,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0230,U0059,4.1,100000
BCA Asuransi Rumah Tinggal,Properti,P0231,U0162,5,774000
BCA Asuransi Properti Komersial,Properti,P0232,U0033,4.2,774000
BCA Asuransi Kebakaran,Properti,P0233,U0066,4.1,769000
Asuransi Simas Ruko,Properti,P0234,U0169,4.1,200000
Simas Rumah Hemat Plus,Properti,P0235,U0026,4.7,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0236,U0093,4.4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0237,U0038,3.8,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0238,U0073,3,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0239,U0141,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0240,U0086,3.8,100000
BCA Asuransi Rumah Tinggal,Properti,P0241,U0006,3.6,774000
BCA Asuransi Properti Komersial,Properti,P0242,U0176,3.9,774000
BCA Asuransi Kebakaran,Properti,P0243,U0157,4.1,769000
Asuransi Simas Ruko,Properti,P0244,U0029,4.5,200000
Simas Rumah Hemat Plus,Properti,P0245,U0109,4.9,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0246,U0155,5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0247,U0026,4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0248,U0194,3.7,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0249,U0038,3.7,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0250,U0045,3.6,100000
BCA Asuransi Rumah Tinggal,Properti,P0251,U0166,4.4,774000
BCA Asuransi Properti Komersial,Properti,P0252,U0028,4.9,774000
BCA Asuransi Kebakaran,Properti,P0253,U0131,4.5,769000
Asuransi Simas Ruko,Properti,P0254,U0094,3.4,200000
Simas Rumah Hemat Plus,Properti,P0255,U0172,2.8,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0256,U0054,3.8,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0257,U0056,4.8,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0258,U0013,3.7,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0259,U0050,3.1,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0260,U0155,4.2,100000
BCA Asuransi Rumah Tinggal,Properti,P0261,U0030,3.8,774000
BCA Asuransi Properti Komersial,Properti,P0262,U0171,3.5,774000
BCA Asuransi Kebakaran,Properti,P0263,U0093,5,769000
Asuransi Simas Ruko,Properti,P0264,U0017,4.7,200000
Simas Rumah Hemat Plus,Properti,P0265,U0069,3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0266,U0091,3.5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0267,U0194,4.2,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0268,U0108,4.4,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0269,U0138,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0270,U0011,3.5,100000
BCA Asuransi Rumah Tinggal,Properti,P0271,U0172,3.8,774000
BCA Asuransi Properti Komersial,Properti,P0272,U0077,3.5,774000
BCA Asuransi Kebakaran,Properti,P0273,U0041,3.6,769000
Asuransi Simas Ruko,Properti,P0274,U0040,5,200000
Simas Rumah Hemat Plus,Properti,P0275,U0143,5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0276,U0170,3.6,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0277,U0106,3.2,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0278,U0052,5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0279,U0124,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0280,U0146,2.6,100000
BCA Asuransi Rumah Tinggal,Properti,P0281,U0059,3.2,774000
BCA Asuransi Properti Komersial,Properti,P0282,U0153,4.4,774000
BCA Asuransi Kebakaran,Properti,P0283,U0082,3.8,769000
Asuransi Simas Ruko,Properti,P0284,U0139,3.8,200000
Simas Rumah Hemat Plus,Properti,P0285,U0124,3.5,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0286,U0041,5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0287,U0074,4.3,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0288,U0109,3.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0289,U0044,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0290,U0155,4.4,100000
BCA Asuransi Rumah Tinggal,Properti,P0291,U0174,4.6,774000
BCA Asuransi Properti Komersial,Properti,P0292,U0043,4.9,774000
BCA Asuransi Kebakaran,Properti,P0293,U0078,3.3,769000
Asuransi Simas Ruko,Properti,P0294,U0085,4.2,200000
Simas Rumah Hemat Plus,Properti,P0295,U0013,4.3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0296,U0125,4.5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0297,U0021,4.1,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0298,U0066,3.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0299,U0060,3.6,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0300,U0080,3,100000
BCA Asuransi Rumah Tinggal,Properti,P0301,U0168,3.4,774000
BCA Asuransi Properti Komersial,Properti,P0302,U0170,4,774000
BCA Asuransi Kebakaran,Properti,P0303,U0045,3.8,769000
Asuransi Simas Ruko,Properti,P0304,U0071,4.6,200000
Simas Rumah Hemat Plus,Properti,P0305,U0043,3.8,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0306,U0115,4,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0307,U0169,3.5,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0308,U0065,3.3,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0309,U0168,4.5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0310,U0083,4.1,100000
BCA Asuransi Rumah Tinggal,Properti,P0311,U0179,3.5,774000
BCA Asuransi Properti Komersial,Properti,P0312,U0117,2.8,774000
BCA Asuransi Kebakaran,Properti,P0313,U0012,3.5,769000
Asuransi Simas Ruko,Properti,P0314,U0157,5,200000
Simas Rumah Hemat Plus,Properti,P0315,U0027,2.6,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0316,U0120,4.3,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0317,U0043,4.9,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0318,U0098,4.6,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0319,U0114,3.4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0320,U0103,4.3,100000
BCA Asuransi Rumah Tinggal,Properti,P0321,U0118,5,774000
BCA Asuransi Properti Komersial,Properti,P0322,U0184,3.4,774000
BCA Asuransi Kebakaran,Properti,P0323,U0066,5,769000
Asuransi Simas Ruko,Properti,P0324,U0073,5,200000
Simas Rumah Hemat Plus,Properti,P0325,U0123,3,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0326,U0016,3.7,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0327,U0060,5,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0328,U0106,3.2,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0329,U0156,4.8,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0330,U0113,3.3,100000
BCA Asuransi Rumah Tinggal,Properti,P0331,U0132,3.7,774000
BCA Asuransi Properti Komersial,Properti,P0332,U0032,4.2,774000
BCA Asuransi Kebakaran,Properti,P0333,U0037,5,769000
Asuransi Simas Ruko,Properti,P0334,U0055,3.7,200000
Simas Rumah Hemat Plus,Properti,P0335,U0188,4.7,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0336,U0017,4.8,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0337,U0189,4.4,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0338,U0185,4.7,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0339,U0125,5,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0340,U0073,3.4,100000
BCA Asuransi Rumah Tinggal,Properti,P0341,U0002,3.8,774000
BCA Asuransi Properti Komersial,Properti,P0342,U0166,3.6,774000
BCA Asuransi Kebakaran,Properti,P0343,U0037,3.1,769000
Asuransi Simas Ruko,Properti,P0344,U0121,4.6,200000
Simas Rumah Hemat Plus,Properti,P0345,U0095,4.1,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0346,U0088,3.5,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0347,U0191,3.8,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0348,U0175,4.2,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0349,U0152,4.4,657428.5714
Allianz Asuransi Rumahku Plus,Properti,P0350,U0129,4.1,100000
BCA Asuransi Rumah Tinggal,Properti,P0351,U0180,4.5,774000
BCA Asuransi Properti Komersial,Properti,P0352,U0072,5,774000
BCA Asuransi Kebakaran,Properti,P0353,U0035,3,769000
Asuransi Simas Ruko,Properti,P0354,U0002,4,200000
Simas Rumah Hemat Plus,Properti,P0355,U0098,4.1,200000
Simas Asuransi Kebakaran Property All Risks/Industrial All Risks,Properti,P0356,U0134,3.9,1785000
AXA Mandiri Asuransi Rumahku Plus,Properti,P0357,U0124,4.7,657428.5714
ACA Asuransi Rumah Idaman (ASRI),Properti,P0358,U0010,3.5,657428.5714
ACA Asuransi Kebakaran (Standar OJK),Properti,P0359,U0046,3.9,657428.5714
