Nama Asuransi,kategori,produk_id,user_id,Rating,Premi Asuransi
MAG Asuransi All risk,Kendaraan,P0044,U0138,4.3,2316000
Alliannz Asuransi TLO,Kendaraan,P0045,U0027,3.6,466800
Allianz Asuransi All risk,Kendaraan,P0046,U0005,4.3,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0047,U0020,3.1,432000
Tokio Marine Asuransi All risk,Kendaraan,P0048,U0019,4,2460000
Insureka Asuransi Mobil,Kendaraan,P0049,U0174,3.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0050,U0067,5,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0051,U0185,3.9,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0052,U0196,4.5,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0053,U0184,3.9,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0054,U0004,4,1030320
ACA Otomate,Kendaraan,P0055,U0108,4.6,366000
ACA Otomate Smart,Kendaraan,P0056,U0063,3.6,306000
ACA Otomate Solitaire,Kendaraan,P0057,U0081,4.4,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0058,U0191,3.4,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0059,U0111,4.3,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0060,U0090,4.6,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0061,U0070,4.1,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0062,U0021,4.7,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0063,U0022,3.7,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0064,U0127,4.1,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0065,U0174,2.9,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0066,U0189,3.7,3377700
MAG Asuransi TLO,Kendaraan,P0067,U0125,3.5,420000
MAG Asuransi All risk,Kendaraan,P0068,U0032,3.6,2316000
Alliannz Asuransi TLO,Kendaraan,P0069,U0004,4.5,466800
Allianz Asuransi All risk,Kendaraan,P0070,U0200,3.4,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0071,U0151,3.3,432000
Tokio Marine Asuransi All risk,Kendaraan,P0072,U0108,5,2460000
Insureka Asuransi Mobil,Kendaraan,P0073,U0041,3.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0074,U0048,5,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0075,U0171,3.3,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0076,U0155,3.6,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0077,U0002,3.7,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0078,U0122,3.8,1030320
ACA Otomate,Kendaraan,P0079,U0167,3.3,366000
ACA Otomate Smart,Kendaraan,P0080,U0023,3.7,306000
ACA Otomate Solitaire,Kendaraan,P0081,U0125,3.3,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0082,U0103,3.9,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0083,U0188,4.8,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0084,U0134,4.6,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0085,U0155,3,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0086,U0135,4.8,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0087,U0156,5,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0088,U0104,3.1,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0089,U0033,4.8,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0090,U0182,4.3,3377700
MAG Asuransi TLO,Kendaraan,P0091,U0056,3.6,420000
MAG Asuransi All risk,Kendaraan,P0092,U0067,5,2316000
Alliannz Asuransi TLO,Kendaraan,P0093,U0149,3.1,466800
Allianz Asuransi All risk,Kendaraan,P0094,U0161,5,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0095,U0058,4.4,432000
Tokio Marine Asuransi All risk,Kendaraan,P0096,U0099,2.9,2460000
Insureka Asuransi Mobil,Kendaraan,P0097,U0188,2.9,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0098,U0006,4,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0099,U0081,4.5,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0100,U0064,4.7,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0101,U0123,4.6,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0102,U0043,5,1030320
ACA Otomate,Kendaraan,P0103,U0123,4.9,366000
ACA Otomate Smart,Kendaraan,P0104,U0095,3.3,306000
ACA Otomate Solitaire,Kendaraan,P0105,U0197,4.1,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0106,U0117,2.8,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0107,U0100,4.7,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0108,U0053,4.4,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0109,U0175,3.5,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0110,U0143,4.6,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0111,U0018,4.6,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0112,U0060,4,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0113,U0080,3.7,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0114,U0077,3.5,3377700
MAG Asuransi TLO,Kendaraan,P0115,U0098,4.4,420000
MAG Asuransi All risk,Kendaraan,P0116,U0119,5,2316000
Alliannz Asuransi TLO,Kendaraan,P0117,U0012,3.7,466800
Allianz Asuransi All risk,Kendaraan,P0118,U0008,4.1,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0119,U0088,3.6,432000
Tokio Marine Asuransi All risk,Kendaraan,P0120,U0112,4.9,2460000
Insureka Asuransi Mobil,Kendaraan,P0121,U0169,3.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0122,U0052,4.1,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0123,U0015,3.7,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0124,U0085,4.3,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0125,U0152,2.5,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0126,U0198,4.2,1030320
ACA Otomate,Kendaraan,P0127,U0069,3.9,366000
ACA Otomate Smart,Kendaraan,P0128,U0085,3.2,306000
ACA Otomate Solitaire,Kendaraan,P0129,U0141,4.5,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0130,U0074,3.5,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0131,U0031,2.3,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0132,U0023,4.4,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0133,U0094,4.7,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0134,U0171,3,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0135,U0002,4.7,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0136,U0048,3.8,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0137,U0169,4.7,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0138,U0018,3.1,3377700
MAG Asuransi TLO,Kendaraan,P0139,U0078,3.7,420000
MAG Asuransi All risk,Kendaraan,P0140,U0017,5,2316000
Alliannz Asuransi TLO,Kendaraan,P0141,U0054,3.3,466800
Allianz Asuransi All risk,Kendaraan,P0142,U0030,4.3,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0143,U0136,4.8,432000
Tokio Marine Asuransi All risk,Kendaraan,P0144,U0151,4.4,2460000
Insureka Asuransi Mobil,Kendaraan,P0145,U0120,3.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0146,U0030,5,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0147,U0140,3.8,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0148,U0009,5,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0149,U0043,4.9,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0150,U0128,3.3,1030320
ACA Otomate,Kendaraan,P0151,U0035,3.5,366000
ACA Otomate Smart,Kendaraan,P0152,U0056,4.2,306000
ACA Otomate Solitaire,Kendaraan,P0153,U0002,3.1,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0154,U0197,5,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0155,U0093,4.4,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0156,U0188,3.5,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0157,U0040,3.9,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0158,U0009,3.8,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0159,U0039,3.6,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0160,U0185,3.6,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0161,U0067,4.6,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0162,U0080,3.7,3377700
MAG Asuransi TLO,Kendaraan,P0163,U0119,3.4,420000
MAG Asuransi All risk,Kendaraan,P0164,U0049,5,2316000
Alliannz Asuransi TLO,Kendaraan,P0165,U0128,4.1,466800
Allianz Asuransi All risk,Kendaraan,P0166,U0018,4.6,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0167,U0166,4.8,432000
Tokio Marine Asuransi All risk,Kendaraan,P0168,U0019,4.3,2460000
Insureka Asuransi Mobil,Kendaraan,P0169,U0019,2.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0170,U0185,3.6,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0171,U0151,4.6,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0172,U0109,4,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0173,U0072,4.6,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0174,U0138,3,1030320
ACA Otomate,Kendaraan,P0175,U0112,3.9,366000
ACA Otomate Smart,Kendaraan,P0176,U0142,5,306000
ACA Otomate Solitaire,Kendaraan,P0177,U0023,4.9,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0178,U0132,3.7,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0179,U0052,4.2,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0180,U0009,4.6,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0181,U0130,4,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0182,U0072,3.6,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0183,U0199,3.6,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0184,U0018,3,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0185,U0121,3.9,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0186,U0158,3.4,3377700
MAG Asuransi TLO,Kendaraan,P0187,U0079,3.3,420000
MAG Asuransi All risk,Kendaraan,P0188,U0114,3.4,2316000
Alliannz Asuransi TLO,Kendaraan,P0189,U0021,3.4,466800
Allianz Asuransi All risk,Kendaraan,P0190,U0148,5,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0191,U0195,3.6,432000
Tokio Marine Asuransi All risk,Kendaraan,P0192,U0095,4,2460000
Insureka Asuransi Mobil,Kendaraan,P0193,U0122,5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0194,U0054,3.8,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0195,U0080,4.3,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0196,U0185,3.5,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0197,U0065,3.4,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0198,U0107,4.5,1030320
ACA Otomate,Kendaraan,P0199,U0027,3.7,366000
ACA Otomate Smart,Kendaraan,P0200,U0179,5,306000
ACA Otomate Solitaire,Kendaraan,P0201,U0033,4.4,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0202,U0128,2.7,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0203,U0051,4.3,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0204,U0043,4.2,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0205,U0022,3.3,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0206,U0113,3.8,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0207,U0013,4.2,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0208,U0035,4.3,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0209,U0091,4.8,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0210,U0186,3.1,3377700
MAG Asuransi TLO,Kendaraan,P0211,U0170,4.6,420000
MAG Asuransi All risk,Kendaraan,P0212,U0011,4.4,2316000
Alliannz Asuransi TLO,Kendaraan,P0213,U0163,5,466800
Allianz Asuransi All risk,Kendaraan,P0214,U0029,4.6,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0215,U0029,3.4,432000
Tokio Marine Asuransi All risk,Kendaraan,P0216,U0101,4.3,2460000
Insureka Asuransi Mobil,Kendaraan,P0217,U0071,4.5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0218,U0011,3.1,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0219,U0085,4.3,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0220,U0095,4.3,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0221,U0012,5,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0222,U0086,4.7,1030320
ACA Otomate,Kendaraan,P0223,U0080,3.6,366000
ACA Otomate Smart,Kendaraan,P0224,U0128,4.1,306000
ACA Otomate Solitaire,Kendaraan,P0225,U0056,4.5,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0226,U0147,3.2,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0227,U0098,4.2,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0228,U0003,3.3,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0229,U0168,4.4,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0230,U0042,2.9,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0231,U0001,2.4,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0232,U0155,5,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0233,U0087,3.3,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0234,U0079,3.8,3377700
MAG Asuransi TLO,Kendaraan,P0235,U0077,3.8,420000
MAG Asuransi All risk,Kendaraan,P0236,U0112,3.3,2316000
Alliannz Asuransi TLO,Kendaraan,P0237,U0188,3.6,466800
Allianz Asuransi All risk,Kendaraan,P0238,U0021,3.3,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0239,U0155,3.1,432000
Tokio Marine Asuransi All risk,Kendaraan,P0240,U0090,4.1,2460000
Insureka Asuransi Mobil,Kendaraan,P0241,U0119,5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0242,U0111,4.3,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0243,U0029,3.8,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0244,U0174,4,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0245,U0180,4.1,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0246,U0195,3.9,1030320
ACA Otomate,Kendaraan,P0247,U0134,3.6,366000
ACA Otomate Smart,Kendaraan,P0248,U0178,3.6,306000
ACA Otomate Solitaire,Kendaraan,P0249,U0199,2.4,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0250,U0187,4.1,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0251,U0009,3.7,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0252,U0195,3.2,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0253,U0129,5,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0254,U0047,4.9,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0255,U0184,3.8,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0256,U0007,4.3,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0257,U0159,4.1,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0258,U0079,4.1,3377700
MAG Asuransi TLO,Kendaraan,P0259,U0140,3.8,420000
MAG Asuransi All risk,Kendaraan,P0260,U0187,3.9,2316000
Alliannz Asuransi TLO,Kendaraan,P0261,U0049,4.4,466800
Allianz Asuransi All risk,Kendaraan,P0262,U0126,5,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0263,U0022,5,432000
Tokio Marine Asuransi All risk,Kendaraan,P0264,U0069,4.3,2460000
Insureka Asuransi Mobil,Kendaraan,P0265,U0154,4.5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0266,U0151,3.4,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0267,U0032,3.1,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0268,U0177,5,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0269,U0084,4.3,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0270,U0160,4.3,1030320
ACA Otomate,Kendaraan,P0271,U0172,3.5,366000
ACA Otomate Smart,Kendaraan,P0272,U0126,3.9,306000
ACA Otomate Solitaire,Kendaraan,P0273,U0191,5,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0274,U0046,4.4,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0275,U0192,3.8,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0276,U0109,3.2,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0277,U0064,5,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0278,U0158,3.9,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0279,U0052,3.6,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0280,U0037,4.1,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0281,U0082,4.7,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0282,U0034,3.7,3377700
MAG Asuransi TLO,Kendaraan,P0283,U0154,4.5,420000
MAG Asuransi All risk,Kendaraan,P0284,U0075,5,2316000
Alliannz Asuransi TLO,Kendaraan,P0285,U0054,3.2,466800
Allianz Asuransi All risk,Kendaraan,P0286,U0068,4.1,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0287,U0085,3.7,432000
Tokio Marine Asuransi All risk,Kendaraan,P0288,U0002,3.1,2460000
Insureka Asuransi Mobil,Kendaraan,P0289,U0130,3.8,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0290,U0069,3.1,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0291,U0102,4,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0292,U0119,3.7,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0293,U0139,3.6,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0294,U0109,4.5,1030320
ACA Otomate,Kendaraan,P0295,U0114,4.5,366000
ACA Otomate Smart,Kendaraan,P0296,U0121,3,306000
ACA Otomate Solitaire,Kendaraan,P0297,U0013,4.3,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0298,U0023,3.7,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0299,U0037,2.3,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0300,U0033,3.9,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0301,U0175,4.6,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0302,U0075,3.1,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0303,U0021,3.9,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0304,U0019,3.7,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0305,U0055,4.4,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0306,U0136,4.4,3377700
MAG Asuransi TLO,Kendaraan,P0307,U0191,4.3,420000
MAG Asuransi All risk,Kendaraan,P0308,U0021,3.9,2316000
Alliannz Asuransi TLO,Kendaraan,P0309,U0174,4.5,466800
Allianz Asuransi All risk,Kendaraan,P0310,U0185,3.6,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0311,U0178,5,432000
Tokio Marine Asuransi All risk,Kendaraan,P0312,U0009,4.3,2460000
Insureka Asuransi Mobil,Kendaraan,P0313,U0134,4.4,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0314,U0192,3.5,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0315,U0159,4.7,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0316,U0045,4.8,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0317,U0169,2.8,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0318,U0050,5,1030320
ACA Otomate,Kendaraan,P0319,U0162,3.8,366000
ACA Otomate Smart,Kendaraan,P0320,U0126,3.7,306000
ACA Otomate Solitaire,Kendaraan,P0321,U0070,4.9,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0322,U0060,4.4,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0323,U0086,4.6,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0324,U0064,4.6,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0325,U0027,4.8,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0326,U0170,5,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0327,U0044,3.9,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0328,U0169,4.7,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0329,U0125,3.2,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0330,U0042,4.3,3377700
MAG Asuransi TLO,Kendaraan,P0331,U0166,3.2,420000
MAG Asuransi All risk,Kendaraan,P0332,U0105,4.9,2316000
Alliannz Asuransi TLO,Kendaraan,P0333,U0006,3.4,466800
Allianz Asuransi All risk,Kendaraan,P0334,U0098,4.2,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0335,U0131,3.6,432000
Tokio Marine Asuransi All risk,Kendaraan,P0336,U0144,3.4,2460000
Insureka Asuransi Mobil,Kendaraan,P0337,U0086,5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0338,U0009,4.3,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0339,U0161,3.7,1106040
Insureka Asuransi Mobil Comprehensive,Kendaraan,P0340,U0179,4.6,1106040
Insureka Asuransi Mobil Wuling,Kendaraan,P0341,U0154,3.3,896610
Insureka Asuransi Mobil BYD,Kendaraan,P0342,U0160,3.6,1030320
ACA Otomate,Kendaraan,P0343,U0100,3.2,366000
ACA Otomate Smart,Kendaraan,P0344,U0127,4.5,306000
ACA Otomate Solitaire,Kendaraan,P0345,U0064,4.4,360000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0346,U0096,3.9,100000
Asuransi Simas Mobil Exclusive,Kendaraan,P0347,U0128,5,100000
Asuransi Kendaraan Bermotor Simas,Kendaraan,P0348,U0009,3.3,100000
Asuransi Simas Mikro Autobike,Kendaraan,P0349,U0058,3.2,50000
Asurasni Simas Mobil Bonus,Kendaraan,P0350,U0032,3.8,100000
Tugu Pratama Indonesia Asuransi TLO,Kendaraan,P0351,U0038,4.5,420000
Tugu Pratama Indonesia Asuransi All risk,Kendaraan,P0352,U0165,3.1,2100000
Adira Autocillin Asuransi TLO,Kendaraan,P0353,U0127,2.7,862800
Adira Autocillin Asuransi All risk,Kendaraan,P0354,U0006,4.3,3377700
MAG Asuransi TLO,Kendaraan,P0355,U0069,4,420000
MAG Asuransi All risk,Kendaraan,P0356,U0064,4.1,2316000
Alliannz Asuransi TLO,Kendaraan,P0357,U0004,3.8,466800
Allianz Asuransi All risk,Kendaraan,P0358,U0164,3.2,2908008
Tokio Marine Asuransi TLO,Kendaraan,P0359,U0071,3.2,432000
Tokio Marine Asuransi All risk,Kendaraan,P0360,U0180,3.9,2460000
Insureka Asuransi Mobil,Kendaraan,P0361,U0001,5,1054166
Insureka Asuransi Mobil All Risk,Kendaraan,P0362,U0005,3.5,1106040
Insureka Asuransi Mobil TLO,Kendaraan,P0363,U0010,3.4,1106040
